id,marca,nombre,presentacion,categoria_1,categoria_2,categoria_3,categoria_origen
0000077905826,CANNETTINE,Turron de Mani Blando con Miel Cannettine 120 Gr,120.0 gr,Almacén,Desayuno y Merienda,,inferida
0000077906106,LOS CRIADORES,Whisky Los Criadores 195 Cc,195.0 cc,Bebidas con Alcohol,Licores y Aperitivos,,inferida
0000077906373,TERRABUSI,Fideos Spaghetti Terrabusi 500 Gr,500.0 gr,Almacén,Harinas y Pastas,,inferida
0000077906519,NOVELTEX,Desodorante Antitranspirante en Crema Noveltex 60 Gr,60.0 gr,Perfumería y Cuidado Personal,Cuidado de la Piel,,inferida
0000077907943,LENGUETAZO,Caramelos Masticables Sabor Tuti Frutti Lenguetazo 13 Gr,13.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077907967,STANI,Caramelos Masticables Frambuesa Stani Lenguetazo 13 Gr,13.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077908193,NEVARES,Alfajor Negro Nevares 45 Gr,45.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077908278,CUSENIER,Licor de Menta Cusenier 200 Ml,200.0 ml,Bebidas con Alcohol,Licores y Aperitivos,,inferida
0000077908308,TITA,Alfajor Tita 36 Gr,36.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077908377,CUSENIER,Licor de Cafe Cognac Cusenier 200 Ml,200.0 ml,Bebidas con Alcohol,Licores y Aperitivos,,inferida
0000077908650,DUBARRY,Crema Sapolan Dubarry 280 Cc,280.0 cc,,,,sin clasificar
0000077908667,DUBARRY,Sapolan Color Dubarry 280 Gr,280.0 gr,,,,sin clasificar
0000077908704,LA LÁCTEO,Flan Dulce de Leche en Pote La Lacteo 130 Gr,1.0 un,Frescos,Lácteos,,inferida
0000077908827,MOGY,Alfajor Negro Mogy 21 Gr,21.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077908964,OPERA,Galletita Amor Bagley 112 Gr,112.0 gr,,,,sin clasificar
0000077910875,MENTHO PLUS,Caramelos Strong Menthoplus 30.6 Gr,30.6 gr,Almacén,Snacks y Golosinas,,inferida
0000077911551,ROCKLETS,Conejo de Pascua Rocklets 110 Gr,110.0 gr,,,,sin clasificar
0000077912268,MOGY,Alfajor Blanco Mogy 21 Gr,21.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077912282,OREO,Galletitas Bañadas con Chocolate Oreo 17 Gr,17.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077912374,OREO,Galletitas Bañadas con Chocolate Blanco Oreo 204 Gr,204.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077912626,CADBURY,Chocolate con Leche Relleno con Frutilla Cadbury 27 Gr,27.0 gr,Frescos,Lácteos,,inferida
0000077912718,SAPITO,Chocolate Mani Sapito Arcor 10 Gr,10.0 gr,Almacén,Snacks y Golosinas,,inferida
0000077913692,TRES PLUMAS,Licor de Dulce de Leche Tres Plumas 200 Cc,200.0 cc,Bebidas con Alcohol,Licores y Aperitivos,,inferida
0000077914217,SHOT,Tableta de Chocolate Shot 35 Gr,35.0 gr,Almacén,Snacks y Golosinas,,inferida
