id,marca,nombre,presentacion,categoria_1,categoria_2,categoria_3,categoria_origen
7792160040189,DIET KONTROL,Gelatina Banana Light Diet Kontrol Cormillot 24 Gr,30.0 gr,Frescos,Frutas,,inferida
7792160040196,DIET KONTROL,Gelatina Cereza Light Diet Kontrol Cormillot 24 Gr,30.0 gr,Almacén,Sopas y Puré,,inferida
7792160040202,DIET KONTROL,Gelatina Light Durazno Diet Kontrol Cormillot 30 Gr,30.0 gr,Almacén,Sopas y Puré,,inferida
7792160040219,CORMILLOT,Gelatina Bajas Calorias Frambuesa en Polvo Dr Cormillot 30 Gr,30.0 gr,Almacén,Sopas y Puré,,inferida
7792160040233,DIET KONTROL,Gelatina Frutilla Light Diet Kontrol Cormillot 24 Gr,30.0 gr,Frescos,Frutas,,inferida
7792160040257,DIET KONTROL,Gelatina Limon Light Diet Kontrol Cormillot 24 Gr,30.0 gr,Frescos,Frutas,,inferida
7792160040264,DIET KONTROL,Gelatina Light Manzana Diet Kontrol Cormillot 24 Gr,30.0 gr,Frescos,Frutas,,inferida
7792160040271,CORMILLOT,Gelatina Bajas Calorias Naranja en Polvo Dr Cormillot 30 Gr,30.0 gr,Frescos,Frutas,,inferida
7792170000012,QUAKER,Aritos de Avena y Miel Fortificados Honey Nuts Quaker 200 Gr,200.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170000104,QUAKER,Cereal de Chocolate Cocoa Blasts Quaker 200 Gr,200.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170000432,TODDY,Galletitas Vainilla con Chips Chocolate Toddy 75 Gr,75.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170000449,TODDY,Galletitas Vainilla con Chips de Chocolate Toddy 210 Gr,210.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170000456,QUAKER,Barra de Cereal con Chips de Chocolate Quaker 120 Un 26 Gr,120.0 un,Almacén,Snacks y Golosinas,,inferida
7792170000548,PEPSICO DE ARGENTINA SRL,Barras Cereal Quaker Chispas de Chocolate 6 Un 138 Gr,138.0 gr,Almacén,Snacks y Golosinas,,inferida
7792170000562,QUAKER,Barra de Cereal Mousse Chocolate Quaker 6 Un 23 Gr,6.0 un,Almacén,Snacks y Golosinas,,inferida
7792170000579,QUAKER,Barra de Cereal Frutilla con Crema Quaker 6 Un 25 Gr,6.0 un,Frescos,Frutas,,inferida
7792170000647,QUAKER,Avena Instantanea Fortificada Quaker 400 Gr,400.0 gr,Almacén,Desayuno y Merienda,,inferida
7792170000654,QUAKER,Avena Extra Fina Quaker 500 Gr,500.0 gr,Almacén,Desayuno y Merienda,,inferida
